id,name,location_lat,location_lng,SW,NE,categoryIdOfVenue,categoryTypeName
4e638462d164ddd5e638e519,Griseriet.dk,55.619431999999996,12.482443,"55.6180850112,12.4816740886","55.6198816804,12.4848558324",4bf58dd8d48988d1c4941735,Restaurant
53527bc8498e955480dc60f8,regnbue isen,55.618665,12.571685,"55.6180850112,12.5704406719","55.6198816804,12.5736224156",4bf58dd8d48988d1c9941735,Ice Cream Shop
506197dce4b06cf1a21e33ef,Rennys Kitchen,55.618326,12.571666,"55.6180850112,12.5704406719","55.6198816804,12.5736224156",4bf58dd8d48988d16d941735,Café
4c559f57479fc92891112d95,French Chicken,55.6195271518,12.585875981300001,"55.6180850112,12.5847578627","55.6198816804,12.5879396065",4bf58dd8d48988d16e941735,Fast Food Restaurant
4e368555ae60d86c3aca39d8,Solo Pizza,55.62104012020001,12.4228691137,"55.6197020135,12.4215440130","55.6214986826,12.4247258880",4bf58dd8d48988d1ca941735,Pizza Place
50ee96cde4b0e87d58f8f8ca,Metroselskabets buffet,55.621239815699994,12.577200284100002,"55.6197020135,12.5761760520","55.6214986826,12.5793579271",503288ae91d4c4b30a586d67,Afghan Restaurant
4c57b8c4cc96c9b659b1792e,Det Gyldne Brød,55.62302044,12.37576485,"55.6213190157,12.3728636744","55.6231156849,12.3760456807",4bf58dd8d48988d16a941735,Bakery
4e21d83c62e1964dbb6b7ee5,McDonald's,55.623017777,12.390149761099998,"55.6213190157,12.3871820464","55.6231156849,12.3903640527",4bf58dd8d48988d16e941735,Fast Food Restaurant
4c5983776407d13ab94fb228,Kaff'ka,55.6229154574,12.3890225649,"55.6213190157,12.3871820464","55.6231156849,12.3903640527",4bf58dd8d48988d16d941735,Café
4cb20e37db32f04dc92ecd4d,Domino's Pizza,55.6229676209,12.389793573499999,"55.6213190157,12.3871820464","55.6231156849,12.3903640527",4bf58dd8d48988d1ca941735,Pizza Place
4cb498fc1463a1439d30bca9,Hao Hua,55.62285101,12.3881809,"55.6213190157,12.3871820464","55.6231156849,12.3903640527",4bf58dd8d48988d145941735,Chinese Restaurant
5266a43911d2a17197b8e4e2,Kina cafeteria,55.622,12.422035000000001,"55.6213190157,12.4215461392","55.6231156849,12.4247281455",4bf58dd8d48988d16c941735,Burger Joint
4dbeec225da3ff58ec85614f,Royal Pizza,55.622621845699996,12.4775278734,"55.6213190157,12.4759559528","55.6231156849,12.4791379591",4bf58dd8d48988d1ca941735,Pizza Place
